type,name,location,desc,activities,amenities,accessability,lat,lon,lat_clean,lon_clean
naturepreserve,Forest Beach Migratory Preserve,Port Washington,"<p>
  The Squires’ Property is a unique and important project. The 116 acre site was previously used as a golf course. However, the site boasts significant ecological value and restoration potential due to its size and proximity to Lake Michigan. The property is located on the Lake Michigan shoreline with the majority of the golf course situated approximately 600 feet inland. It is one of the largest tracts of open land remaining in Ozaukee County along Lake Michigan. The property features a 5-acre hardwood forest with ephemeral (seasonal) ponds, open grassland and prairie, a partially wooded ravine and five constructed wetland ponds.
</p>

<p>
  The property’s location and attributes lends itself to supporting migratory birds along the Lake Michigan Flyway. Immediately upon acquisition OWLT will begin stewardship activities including invasive and exotic plant control. Key restoration projects and restoration preparation activities will be conducted in the Spring of 2009. Wetland restoration and activities will begin in the summer of 2009 and continue through the fall.
</p>
","Hiking, Bird Watching","Parking, Picnic Benches, Trail System",,43.49304848,-87.80943471,#VALUE!,#VALUE!
naturepreserve,Spirit Lake,Mequon,"Located a mile west of the Milwaukee River in the City of Mequon, Spirit Lake Preserve is 155 acres. This preserve contains a one-half mile tributary that flows to the Milwaukee River, upland hardwood forest, lowland hardwood forest with ephemeral ponds, cattail marsh, fresh (wet) meadow, and a small, restored grassland. The habitats boast an even more impressive animal population as sandhill cranes, turkeys, coyotes, deer, bald eagles and osprey can all be seen at the preserve. Additionally, for the amphibian lovers, both green frogs and leopard frogs can be seen in the cattail marsh. Visit this preserve to hike, bird watch, fish, hunt, or cross-country ski.<br><br>With contributions from the Knowles-Nelson Stewardship Fund, the Milwaukee Metropolitan Sewage District Greenseams Program, US Fish & Wildlife Service, the Milwaukee Audubon Society, and various private parties, OWLT was able to buy this special piece of land from the Sisters of the Sorrowful Mother — a community of women religious who desire to live the Gospel.<br><br>The Sisters used the land as a private retreat for many years, and they’re pleased to know that the public will get to enjoy it forever. The property was also used by Native Americans as a place for spiritual gatherings. You can feel a special presence there.<br><br>A small, wood-frame cottage at the dead-end of a farm lane provided members of the order with access to solitude: a natural area encompassing the small body of water, an adjacent grassland, and a forest with two separate canopies. The lowland woods is topped with swamp white oak, yellow birch, and red maple. Ephemeral ponds form in depressions during spring, providing habitat for salamanders and frogs. Red and bur oak, shagbark hickory, and ironwood dominate the upland. The spring carpet is colored by wildflowers: wild geranium, spring beauty, trillium, and jack-in-the-pulpit. An unnamed, intermittent stream cuts through a cattail marsh and wet meadow on the west edge of the property.<br><br>The forest is part of a larger natural area, known as the Highland Road Woods, recommended for protection by the Southeastern Wisconsin Regional Planning Commission. Fields on the northeast corner of the property are leased to local farmers. Those acres will remain in agriculture for a few years as the land trust works with other partners, including the Milwaukee Audubon Society, in establishing a management plan for the preserve.<br><br>Eighty-five acres of the property is under easement to the Greenseams program, a flood-control and water-quality initiative of the Milwaukee Metropolitan Sewerage District. This section includes the forest, marsh, and intermittent stream. The water-absorbing features of the property, full of black soil from decaying organic matter, serve as a natural sponge, trapping water during heavy rains and reducing downstream flow. Fields on the northeast corner of the property are leased to local farmers. Those acres will remain in agriculture for a few years as the land trust works with other partners, including the Milwaukee Audubon Society, in establishing a management plan for the preserve. OWLT intends to transfer ownership of the entire property to Milwaukee Audubon in several years.<br><br>(Excerpts from <em>Order of Sisters Makes Sure Lake Preserve Remains Protected</em>, Don Behm, <em>Milwaukee Journal-Sentinel</em>, June 2015)","Hiking, Bird Watching",,,43.26130789,-87.96641213,#VALUE!,#VALUE!
naturepreserve,Bratt Woods Natural Area,Grafton,"Bratt Woods is located on the Milwaukee River in the Town of Grafton and is easily accessible to area residents via the Interurban Trail. One of the trails meanders through the rolling terrain of the forest connecting Cedar Creek Road and the Interurban Trail. This site was donated to OWLT in 2003. It is a critical area because it abuts the Milwaukee River and hosts an upland hardwood forest. Migrating birds benefit from using the river system. Mature oak and maple trees dominate the forest but young American beech trees can also be seen. Bratt Woods is growing into a mature beech and maple forest reflecting its original character. The site is ideal for hiking, fishing, and bird watching. OWLT staff and volunteers continue to remove invasive species and build and maintain trails to enhance the public’s enjoyment of Bratt Woods.<br><br>Bratt Woods can be accessed from the Interurban Trail (just east of the wooden bridge off Hwy. O and across from the parking lot at the Grafton pool) or on East Cedar Creek Road. From I-43 exit on Hwy. V, exit 93. At the stop sign at the end of the exit, make a left onto Hwy. V then about a mile later, make a right on East River Road. Go 1/2 mile and turn left onto East Cedar Creek Road. Park in the cul-de-sac at the end of the road.","Hiking, Bird Watching",Parking (street limited),,43.33872969,-87.94539489,#VALUE!,#VALUE!
naturepreserve,Kurtz Woods Natural Area,Grafton,"Few remnants remain of the deep forests that characterized the pre-settlement era in southeastern Wisconsin. Kurtz Woods is one of them; it hosts more than 82 species of trees and spring ephemerals. This thirty-one acre forest is dominated by sugar maple and American beech. White ash, basswood, and black cherry constitute a younger set of trees that spread east and west from the center of the preserve. The appearance of pole-size trees along the southeast boundary, evidence of logging in the 1930’s, and an old granite quarry along the west edge, are the only reminders of earlier land use and the last signs of disturbance here.<br><br>An assortment of spring wildflowers shares the forest floor with shrubs and young trees. These include hepatica, bloodroot, wild leek, and the aptly named spring beauty. Kurtz Woods is designated as a State Natural Area because of this diversity and the quality of the intact forest. Unfortunately, the small site is susceptible to invasion by exotic species. As a result, OWLT seeks to maintain the integrity of the State Natural Area by aggressively removing invasive species and restoring the southern portion of the forest to its pre-settlement state.<br><br>The terrain of Kurtz Woods is lightly rolling, as a sandy moraine runs through it. Kettle depressions and glacial boulders can be seen throughout the preserve. Cultivated fields and pastures once surrounded the forest. Today, subdivisions and an old quarry surround this remnant forest.",Hiking,Parking (street limited),,43.36267637,-87.95376178,#VALUE!,#VALUE!
naturepreserve,Lion's Den Gorge Nature Preserve,Grafton,"The Lion’s Den Gorge Nature Preserve is an “ecological jewel” within the Ozaukee County park system. This park is a prototype for the planning and implementation of other “Nature Preserves” within the County park system that respects local ecology.<br><br>This 70+ acre park was part of an undeveloped Lake Michigan shoreline property in the Town of Grafton, which contained a portion of the Lion's Den Gorge Natural Area. With the assistance of several private donations and public grants, the property was purchased by the County from Dr. Ghulum Dhar in 2002. The park offers tremendous viewing and educational opportunities, including access to a Natural Area that has remained untouched since before the European settlement of Wisconsin. The park is also adjacent to a 44-acre Waterfowl Production Area, owned by the U.S. Fish & Wildlife Service.<br><br>The Lion's Den Gorge property — 72 acres of Lake Michigan shoreline, bluffs, wetlands, and scenic lands in the Town of Grafton — are now finally forever protected. A complicated collaboration, it took many months and countless hours of effort by people in many organizations: OWLT, WI-DNR, Town of Grafton, Ozaukee County, Riveredge Bird Club, Wisconsin Coastal Management Program.<br><br>Andy Holschbach, Director of the Land Conservation Department in Ozaukee County, was the key person in getting this deal done. He persisted even when everyone felt the situation was hopeless. For some reason, Dr. Dhar liked Andy and kept the communication going with him. They had many long telephone conversations and with his charm and sincerity, Andy won the confidence of Dr. Dhar. Once we neared an agreeable arrangement, John Lhost did his part. He handled the complex negotiations and real estate legal work. Of course, the courageous leadership of county board president Katie Smith convinced the board to ante up $300,000 and a permanent commitment to be stewards of this unique parcel. What an outstanding example of collaboration to a wonderful end!<br><br>The title, after a conservation easement was placed on the property, will be transferred from the Ozaukee Washington Land Trust to Ozaukee County for management as a park and Natural Area. This beautiful land will now forever be preserved for the people for hiking, picnicking, observing wildlife, and similar activities. Identified by the Southeastern Wisconsin Regional Planning Commission as a natural area of local importance, the Lion's Den Gorge is a deep, wooded ravine that cuts across the northern part of the property and opens at Lake Michigan.<br><br>If you haven't yet visited there, spring is a perfect time to be out and about! Please, however, stay on the trails!","Hiking, Bird Watching","Parking, Restrooms, Pavillion, Picnic Tables",,43.33791548,-87.88934815,#VALUE!,#VALUE!
other,Bike Path Island,Grafton,"Did you know that Ozaukee has federally owned islands in the Milwaukee River? Visit this one, Bike Path Island, with staff from the Bureau of Land Management. Location: Village of Grafton, just east of Green Bay Road and under the Ozaukee Interurban Trail Bridge.  Park at the Grafton Aquatic Center (649 N. Green Bay Road) and walk on the trail (just north of the parking lot) east across Green Bay Road.",,,,43.33449275,-87.94645407,#VALUE!,#VALUE!
park,Centennial Park,Grafton,"2 open air-shelters, restroom facilities, lighted softball diamond, practice ball field, 5,000 square foot handicapped-accessible playground area and a 1/2 mile bike and pedestrian path. Parking is available for over 75 vehicles in the lighted parking lot.","Baseball, Biking, Hiking, Playground, Soccer","Benches, Electricity, Garbage, Drinking Fountain, Parking, Picnic Benches, Picnic Shelter, Restrooms, Trail","Playground, Trails",43.31759618,-87.942761,#VALUE!,#VALUE!
park,Lime Kiln Park,Grafton,"This community park includes 1 year-round facility, 1 open-air shelter, restroom facilities, 9-hole Frisbee golf course, sand volleyball courts, fishing and an archery range. Parking is available for over 38 vehicles in the lighted parking lot on the main level. The lower parking lot can accommodate 30 vehicles. The upper parking lot can accommodate 30 vehicles.","Archery, Canoe/Kayak, Disc Golf, Horseshoe Pits, Playground, Sledding, Volleyball, Fishing","Parking, Picnic Benches, Picnic Shelter, Rest Rooms, Canoe/Kayak Launch",,43.30558754,-87.95518942,#VALUE!,#VALUE!
other,Grafton Family Aquatics Center,Grafton,,"Swimming, Playground","Benches, Electricity, Garbage, Drinking Fountain, Parking, Restrooms",,43.33120236,-87.9484861,#VALUE!,#VALUE!
park,Lions Park,Grafton,"16 acre park with paved walking path, playground and Cedar Creek access.","Playground, Canoe/Kayak, Fishing","Electricity, Garbage, Drinking Fountain, Parking, Picnic Benches, Picnic Shelter, Rest Rooms, Recycling, Canoe/Kayak Launch",Playground,43.32150025,-87.97670959,#VALUE!,#VALUE!
